SID,FirstName,LastName,Email,HW1,HW2,HW3,Quiz1,Quiz2,Quiz3,Quiz4,MidtermExam,FinalExam
12314,John,Doe,jdoe@univ.edu,100,80,10,100,90,60,100,80,68
33213,Rachel,Tse,rachel@univ.edu,90,50,30,90,65,90,80,70,69
44612,Jennifer,Smith,Jsmith@univ.edu,90,60,0,90,55,90,90,80,83
37512,Joseph,Lee,Jlee@univ.edu,80,70,100,80,75,50,80,65,71
86312,Daniel,Ramos,Daniel@univ.edu,70,80,80,70,70,70,70,75,93
35902,Natalie,Barua,Natalie@univ.edu,90,50,100,90,85,90,80,87,100
87612,Lauren,Hernandez,LH123@univ.edu,90,60,90,90,85,80,90,98,87
77231,Charlie,Obama,ChObama@univ.edu,100,80,90,100,90,100,30,68,89
90001,Henry,Tillman,tillman@univ.edu,100,90,80,100,95,90,100,95,58
92303,Elizabeth,Owen,Elizabethowen@univ.edu,100,100,20,100,100,100,100,97,100
15583,Connor,Yang,yang@univ.edu,55,100,30,55,55,55,70,45,80
23941,Dylan,Lawson,dlawson@univ.edu,40,100,65,40,90,40,90,87,90
56321,Cooper,Warren,warren@univ.edu,70,90,100,70,50,70,80,20,69
