SID,FirstName,LastName,Email,HW1,HW2,HW3,Quiz1,Quiz2,Quiz3,Quiz4,MidtermExam,FinalExam,FinalScore,FinalGrade
12314,John,Doe,jdoe@univ.edu,-,-,10,100,90,60,100,80,68,63.9%,D
33213,Rachel,Tse,rachel@univ.edu,90,50,30,90,65,90,80,70,69,69.28%,D
44612,Jennifer,Smith,Jsmith@univ.edu,90,60,0,90,55,90,90,80,83,75.15%,C
37512,Joseph,Lee,Jlee@univ.edu,80,70,100,80,75,50,80,65,71,71.72%,C
86312,Daniel,Ramos,Daniel@univ.edu,70,80,80,70,70,70,70,75,93,79.73%,C
35902,Natalie,Barua,Natalie@univ.edu,90,50,100,90,85,90,80,87,100,89.35%,B
87612,Lauren,Hernandez,LH123@univ.edu,90,60,90,90,85,80,90,98,87,88.75%,B
77231,Charlie,Obama,ChObama@univ.edu,100,80,90,100,90,100,30,68,89,81.1%,B
90001,Henry,Tillman,tillman@univ.edu,100,90,80,100,95,90,100,95,58,83.15%,B
92303,Elizabeth,Owen,Elizabethowen@univ.edu,100,100,20,100,100,100,100,97,100,93.77%,A
15583,Connor,Yang,yang@univ.edu,55,100,30,55,55,55,70,45,80,61.58%,D
23941,Dylan,Lawson,dlawson@univ.edu,40,100,65,40,90,40,90,87,90,79.77%,C
56321,Cooper,Warren,warren@univ.edu,70,90,100,70,50,70,80,20,69,57.53%,F
12345,Michael,Johnson,mjohnson@univ.edu,85,90,80,75,80,85,90,88,92,87.5%,B
54321,Emma,Watson,ewatson@univ.edu,95,100,90,85,90,95,100,92,94,93.3%,A
11223,Olivia,Brown,obrown@univ.edu,80,85,90,80,85,80,85,84,86,84.5%,B
33221,William,Smith,wsmith@univ.edu,75,80,85,70,75,70,75,78,80,77.9%,C
44551,Sophia,Lee,slee@univ.edu,90,95,100,85,90,85,90,92,94,92.3%,A
66778,Ava,Martinez,amartinez@univ.edu,85,90,95,80,85,80,85,88,90,87.9%,B
88990,James,Garcia,jgarcia@univ.edu,80,85,80,75,80,75,80,82,84,81.63%,B
77531,Isabella,Rodriguez,irodriguez@univ.edu,95,100,95,90,95,90,95,96,98,96.03%,A
55312,Mia,Kim,mkim@univ.edu,90,95,90,85,90,85,90,92,94,91.63%,A
23456,Benjamin,Li,bli@univ.edu,85,90,85,80,85,80,85,88,90,87.23%,B
76543,Elijah,Patel,epatel@univ.edu,80,85,80,75,80,75,80,82,84,81.63%,B
